Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.092833848330563,0.0774406058847294,0.0426424242481935,0,0,0,3.21829386296279,0.00580151653868739,1.9364341074558E-06,6.92633511445308E-07,0.00721990996747051,3.86677335720294E-07,0.0125117312153311,0,0,0,0,0,0,package://model20/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/base_link.STL,,1. E-baseline-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_wheel_suspension,-0.00786753377996494,-0.0155948984609842,0.0232556468762561,0,0,0,0.0651133753252895,1.48802654908116E-05,1.64845451975805E-08,-1.56420031463122E-07,1.75245555055195E-05,-2.96403540336111E-09,8.01010024686586E-06,0,0,0,0,0,0,package://model20/meshes/left_front_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/left_front_wheel_suspension.STL,,3.Suspension_L-1,Origin_left_front_wheel_suspension_joint2,Axis_left_front_wheel_suspension_joint2,left_front_wheel_suspension_joint,prismatic,-0.019998715602551,0.155491237481961,-0.0309978167969167,1.5707963267949,0,-1.5707963267949,base_link,0,1,0,0,0,0,0,,,,,,,,
left_front_wheel,0.0158399891826273,-4.59981459866032E-09,7.99690621500204E-08,0,0,0,0.22822169800504,0.000789211576324214,-1.09995507949593E-10,1.91230261060067E-09,0.000410429434291453,-5.55677330321344E-16,0.000410429434301075,0,0,0,0,0,0,package://model20/meshes/left_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/left_front_wheel.STL,,Wheel_3dprintABS-1,Origin_left_front_wheel_joint2,Axis_left_front_wheel_joint2,left_front_wheel_joint,continuous,-0.0197601403859578,-0.0217865728752538,0.00999990007507129,3.08413603591628,0,3.14159265358979,left_front_wheel_suspension,0.999999999987214,0,0,3.1,7,,,,,,,,,,
right_front_wheel_suspension,-0.00415434378457435,-0.0156302499401892,0.0232556866612721,0,0,0,0.0651133753251555,1.48802639086072E-05,1.648453020563E-08,1.56454773175217E-07,1.75245555054544E-05,2.96411876510215E-09,8.01010182899685E-06,0,0,0,0,0,0,package://model20/meshes/right_front_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/right_front_wheel_suspension.STL,,2.Suspension_R-1,Origin_right_front_wheel_suspension_joint2,Axis_right_front_wheel_suspension_joint2,right_front_wheel_suspension_joint,prismatic,-0.019998685205965,-0.0145086967784139,-0.0309978167969166,1.5707963267949,0,-1.5707963267949,base_link,0,1,0,0,0,0,0,,,,,,,,
right_front_wheel,0.015839199018542,1.11022302462516E-16,0,0,0,0,0.22822169800504,0.000789211576333899,-3.39114589672057E-20,5.36354242059181E-21,0.000410429434291421,-3.3881317890172E-19,0.000410429434291419,0,0,0,0,0,0,package://model20/meshes/right_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/right_front_wheel.STL,,Wheel_3dprintABS-3,Origin_right_front_wheel_joint2,Axis_right_front_wheel_joint2,right_front_wheel_joint,continuous,0.00773912001850283,-0.0217849999999998,0.0100000000000001,0.162600051915931,0,0,right_front_wheel_suspension,1,0,0,3.1,7,,,,,,,,,,
camera,0.00574434029795978,-0.000740342879783772,-0.0662231976935658,0,0,0,0.0436119957238953,2.34834564028883E-05,-1.21278036982022E-09,-3.47379224009179E-07,4.2947905005604E-06,-5.91274656944023E-10,2.2193065138918E-05,0,0,0,0,0,0,package://model20/meshes/camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/camera.STL,,Webcam_C920 - 복사본-4,Origin_cam,Axis_camera,camera,fixed,-0.0134999999999999,0.0764920649895213,0.154987708684933,0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera2,-0.0221485658915229,0.000718215963980057,0.0651474645619419,0,0,0,0.0436119950287125,2.34616976848218E-05,-7.5418513253527E-10,3.85065873476792E-07,4.29479133591139E-06,-1.11912173840941E-09,2.22148222430625E-05,0,0,0,0,0,0,package://model20/meshes/camera2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/camera2.STL,,Webcam_C920 - 복사본-3,Origin_cam2,Axis_camera2,camera2,fixed,-0.00852200766865335,0.0757627858576307,0.0876258392043087,0,0.261799387799143,0,base_link,0,0,0,,,,,,,,,,,,
lidar,-0.00868778989367724,-0.00242014065569161,-0.0287648859064543,0,0,0,0.0730845706123877,1.9580875609635E-05,-1.03933750344927E-07,4.28391241039135E-07,2.41250086763081E-05,-9.42709906914289E-09,4.1418452244397E-05,0,0,0,0,0,0,package://model20/meshes/lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/lidar.STL,,RPLidar-1,Origin_lidar_joint,Axis_lidar_joint,lidar_joint,fixed,-0.0642592027859291,0.0687050562666345,0.223497816796912,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu,0,1.38777878078145E-17,0.00250000000000002,0,0,0,0.000510000000000001,5.31250000000002E-09,-7.37257477290141E-26,-1.57807179640438E-40,5.31250000000002E-09,-5.52943107967612E-26,8.50000000000004E-09,0,0,0,0,0,0,package://model20/meshes/imu.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/imu.STL,,imu-1,Origin_imu2,Axis_imu,imu,fixed,-0.0950000000000001,0.117752824450965,0.169997816796917,0,0,0,base_link,0,0,0,,,,,,,,,,,,
left_rear_wheel_suspension,0,-0.005,1.11022302462516E-16,0,0,0,0.00774637194071073,3.9707044697232E-07,-2.59626609761759E-23,1.7265241970474E-23,6.65034694932794E-07,-4.68375338513749E-24,3.97070446972319E-07,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel_suspension.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel_suspension.STL,,suspension3-2,Origin_left_rear_wheel_suspension_joint3,Axis_left_rear_wheel_suspension_joint2,left_rear_wheel_suspension_joint,prismatic,-0.293,0.1615,-0.030998,1.5708,0,-1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
left_rear_wheel,0,-0.0404395006329032,0,0,0,0,0.342512288692214,0.000165711359519628,1.00962097199719E-21,6.2469123454979E-21,0.00011406556894596,3.79469691957732E-21,0.000165711359519627,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel.STL,,ball_sus-2,Origin_left_rear_wheel_joint3,Axis_left_rear_wheel_joint,left_rear_wheel_joint,fixed,0,-0.019515762701871,0,0,0,0,left_rear_wheel_suspension,0,0,0,,,,,,,,,,,,
right_rear_wheel_suspension,0,-0.005,-1.11022302462516E-16,0,0,0,0.00774637194071073,3.9707044697232E-07,-2.59626609761758E-23,5.84249445698131E-24,6.65034694932794E-07,-4.68375338513719E-24,3.97070446972319E-07,0,0,0,0,0,0,package://model20/meshes/right_rear_wheel_suspension.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model20/meshes/right_rear_wheel_suspension.STL,,suspension3-3,Origin_right_rear_wheel_suspension_joint3,Axis_right_rear_wheel_suspension_joint2,right_rear_wheel_suspension_joint,prismatic,-0.293,-0.0084978,-0.030998,1.5708,0,-1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
right_rear_wheel,0,-0.0404395006329033,0,0,0,0,0.342512288692214,0.000165711359519628,-5.89883523403532E-22,4.24561514707314E-21,0.00011406556894596,2.89680955317883E-21,0.000165711359519628,0,0,0,0,0,0,package://model20/meshes/right_rear_wheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model20/meshes/right_rear_wheel.STL,,ball_sus-3,Origin_right_rear_wheel_joint3,Axis_right_rear_wheel_joint,right_rear_wheel_joint,fixed,0,-0.019515762701871,0,0,0,0,right_rear_wheel_suspension,0,0,0,,,,,,,,,,,,
